dataset,model_type,best_accuracy,best_loss
demo_coding_vs_intergenomic_seqs,standard,86.748,0.004825357485413551
demo_coding_vs_intergenomic_seqs,metabolic,85.196,0.005299545456171036
dummy_mouse_enhancers_ensembl,standard,76.44628099173553,0.00852909031485723
dummy_mouse_enhancers_ensembl,metabolic,71.90082644628099,0.009530304630925832
human_enhancers_cohn,standard,67.05526770293609,0.009465657586363726
human_enhancers_cohn,metabolic,66.62348877374784,0.009566716828357233
demo_coding_vs_intergenomic_seqs,standard,86.604,0.004783174786269665
demo_coding_vs_intergenomic_seqs,metabolic,85.712,0.00515484724342823
dummy_mouse_enhancers_ensembl,standard,75.6198347107438,0.008449686460258546
dummy_mouse_enhancers_ensembl,metabolic,74.3801652892562,0.008880519793053303
human_enhancers_cohn,standard,69.35808865860679,0.009024535702025677
human_enhancers_cohn,metabolic,69.68911917098445,0.008948702847710545
demo_coding_vs_intergenomic_seqs,standard,89.612,0.003966235929727555
demo_coding_vs_intergenomic_seqs,metabolic,89.836,0.003909732865691185
dummy_mouse_enhancers_ensembl,standard,85.53719008264463,0.0067108004423212415
dummy_mouse_enhancers_ensembl,metabolic,84.7107438016529,0.006643961037486053
human_enhancers_cohn,standard,72.43811168681636,0.008568205887309147
human_enhancers_cohn,metabolic,72.48128957973518,0.008532599077941223
human_enhancers_ensembl,standard,83.45818534065225,0.005834817659250566
human_enhancers_ensembl,metabolic,83.93929609299322,0.005652372744012579
